id,OFNS_DESC,PD_DESC,Latitude,Longitude
478325,GRAND LARCENY,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED",40.73683322,-73.98875031
478326,HARRASSMENT 2,"HARASSMENT,SUBD 3,4,5",40.66778911,-73.9058716
478327,PETIT LARCENY,"LARCENY,PETIT OF LICENSE PLATE",40.741259,-73.81911954
478328,CRIMINAL MISCHIEF & RELATED OF,"CRIMINAL MISCHIEF 4TH, GRAFFIT",40.71443206,-73.91423945
478329,OFF. AGNST PUB ORD SENSBLTY &,AGGRAVATED HARASSMENT 2,40.72779617,-73.97923405
